Orthogroup,ESL0353,ESL0351,ESL0350,ESL0354,ESL0186,ESL0185,ESL0184,ESL0183,ESL0263,ESL0260,ESL0261,wkb8
OG0000033,,"2637897437, 2637898447","2641557875, 2641559542","2646683544, 2646684419","2686072793, 2686073742",,"2686076305, 2686077334, 2686078073","2686078299, 2686079189",2760261219,"2760264791, 2760266414","2760266667, 2760267688","LACWKB8_0043, LACWKB8_0981, LACWKB8_1657"
OG0000034,,"2637897713, 2637898231, 2637899006, 2637899011",2641558139,2646683828,"2686072941, 2686073025, 2686073517",2686074866,"2686076589, 2686077868",2686078591,2760262632,"2760265056, 2760265068, 2760266220","2760266948, 2760268270, 2760268275",LACWKB8_0347
OG0000036,,"2637899181, 2637899182, 2637899183, 2637899184, 2637899194","2641559521, 2641559522, 2641559760",2646685302,"2686074461, 2686074462",,"2686078056, 2686078057",,,2760266407,"2760268457, 2760268462, 2760268463, 2760268464, 2760268465",LACWKB8_1666
OG0000037,,,2641559630,"2646683571, 2646683751, 2646683817, 2646684136, 2646685024, 2646685131, 2646685176","2686073059, 2686073244, 2686074552",,"2686076518, 2686078159","2686078326, 2686078511, 2686079898",,2760266499,,"LACWKB8_0071, LACWKB8_0252, LACWKB8_1712"
OG0000040,"2632702164, 2632702695, 2632702698, 2632703085",2637898253,,,2686073540,"2686075843, 2686075844, 2686075846, 2686076129",,,"2760261874, 2760262485, 2760262934, 2760262937, 2760262941, 2760262942",,"2760267493, 2760267494, 2760268519",
OG0000046,2632702822,2637899199,"2641559337, 2641559859","2646683546, 2646684896",,2686075968,2686077854,"2686078301, 2686079680, 2686080037","2760262618, 2760262872","2760266207, 2760266603",,"LACWKB8_0045, LACWKB8_0308, LACWKB8_1465"
OG0000047,,"2637899116, 2637899119","2641559019, 2641559464","2646685004, 2646685013, 2646685014","2686074399, 2686074402",2686076073,"2686077516, 2686077989",2686079785,2760262747,"2760265890, 2760266342",2760268386,LACWKB8_1585
OG0000048,2632702585,"2637897429, 2637897820","2641557868, 2641558252",,2686073151,"2686074690, 2686074944, 2686075727","2686076297, 2686076684",,"2760261519, 2760262370","2760264783, 2760265170","2760266659, 2760267058",
OG0000049,2632702705,"2637898474, 2637898730","2641559095, 2641559222",,"2686073767, 2686074018",2686075855,"2686077358, 2686077589, 2686077737",,"2760261639, 2760262492","2760265963, 2760266089",2760267977,LACWKB8_1363
OG0000050,2632702706,"2637898475, 2637898731","2641559096, 2641559223",,"2686073768, 2686074019",2686075856,"2686077359, 2686077590, 2686077738",,"2760261638, 2760262493","2760265964, 2760266090",2760267978,LACWKB8_1364
OG0000051,,2637897919,"2641558118, 2641559631","2646683750, 2646684135, 2646685177","2686073058, 2686073256",,"2686076517, 2686076862, 2686078160",2686078510,"2760261427, 2760261623",2760266500,2760267157,LACWKB8_0251
OG0000052,,"2637899007, 2637899012, 2637899320, 2637899335",2641559662,2646684050,"2686074597, 2686074611",2686076194,"2686077869, 2686078195",2686078833,2760262633,2760266221,"2760268271, 2760268276",LACWKB8_0603
OG0000053,"2632701612, 2632702606, 2632702690",2637898777,"2641559118, 2641559151",,2686074072,"2686075747, 2686075838","2686077617, 2686077667",,"2760262391, 2760262479","2760265986, 2760266022",2760268027,
OG0000054,"2632701657, 2632702590",2637897483,2641558590,"2646683598, 2646683599",2686072835,"2686074737, 2686075732",2686076354,,"2760261288, 2760262375",2760264830,"2760266706, 2760267496",LACWKB8_0102
OG0000061,"2632702564, 2632702565, 2632702992",2637899198,"2641559529, 2641559834","2646685087, 2646685377",,"2686075705, 2686075706",2686078064,2686079851,"2760262349, 2760262350",,2760268480,LACWKB8_1656
OG0000063,,"2637897667, 2637897673","2641558132, 2641559215","2646683892, 2646685057",2686074356,2686076029,2686077730,"2686078670, 2686079822",,2760265049,"2760266909, 2760268341","LACWKB8_0433, LACWKB8_1626"
OG0000064,,2637899187,"2641559390, 2641559526",2646685084,"2686074327, 2686074464",2686076130,"2686077914, 2686078061",2686079849,,"2760266409, 2760266445",2760268468,"LACWKB8_1516, LACWKB8_1517, LACWKB8_1653"
OG0000068,2632701944,2637897566,"2641557999, 2641558022",,2686072915,2686075059,"2686076428, 2686076470",,2760261631,"2760264895, 2760264916, 2760264939",2760266783,"LACWKB8_0177, LACWKB8_0178"
OG0000074,2632702613,,,,2686072787,2686075754,"2686076277, 2686076293, 2686077625, 2686078156, 2686078174",,2760262398,"2760264763, 2760264779, 2760264848, 2760265144, 2760265994, 2760266193",,
OG0000077,,"2637897423, 2637897513","2641557862, 2641557942","2646683563, 2646685130",2686072862,,"2686076323, 2686076373","2686078318, 2686079897",,2760264858,2760266733,"LACWKB8_0063, LACWKB8_1711"
OG0000078,,2637897989,"2641558424, 2641559573, 2641559574",,"2686073329, 2686074230, 2686074492",2686075127,"2686076932, 2686078096, 2686078097",,2760261700,"2760265344, 2760266437",2760268505,
OG0000079,,"2637898478, 2637898733",2641559098,"2646685064, 2646685214","2686073771, 2686074021",,"2686077362, 2686077592","2686079829, 2686079975",,2760265966,2760267980,"LACWKB8_1633, LACWKB8_1785"
OG0000080,,"2637899075, 2637899392",,2646684894,"2686074355, 2686074663",2686076028,,2686079678,2760262610,2760264996,"2760266853, 2760266854, 2760266865, 2760268340, 2760268658",LACWKB8_1463
OG0000081,,"2637899227, 2637899228, 2637899230",,"2646685117, 2646685120","2686074500, 2686074501",,"2686078106, 2686078108","2686079884, 2686079886",,,"2760268513, 2760268516","LACWKB8_1700, LACWKB8_1702"
OG0000089,2632702692,"2637899027, 2637899028",2641559334,,2686074306,"2686075840, 2686075985",2686078245,,"2760262482, 2760262644","2760266082, 2760266580",2760268292,LACWKB8_1356
OG0000092,,2637897433,"2641557812, 2641557871",2646683540,2686072789,2686074694,"2686076259, 2686076301",2686078295,2760261227,"2760264743, 2760264787",2760266663,LACWKB8_0039
OG0000093,,2637897722,2641558153,2646683835,2686073067,2686074876,2686076598,2686078599,"2760261448, 2760261449, 2760261450","2760265077, 2760265078",2760266957,LACWKB8_0355
OG0000094,,"2637897768, 2637897769, 2637897770",,2646683875,2686073114,,,2686078653,,,"2760267006, 2760267007, 2760267009, 2760267021, 2760267023","LACWKB8_0413, LACWKB8_0414, LACWKB8_0416"
OG0000095,,"2637898992, 2637898993",2641559343,"2646684902, 2646684903","2686074290, 2686074291",,"2686077860, 2686077861","2686079686, 2686079687, 2686080034",,2760266213,,LACWKB8_1484
OG0000096,,2637899399,2641559721,2646685273,2686074411,,"2686076454, 2686077610, 2686077747, 2686077999",2686079518,,2760266613,2760267869,"LACWKB8_1297, LACWKB8_1673, LACWKB8_1682"
OG0000097,,,"2641559367, 2641559370","2646683568, 2646683704, 2646685021",,,,"2686078323, 2686078464, 2686078827",2760262882,"2760266242, 2760266245",2760268167,"LACWKB8_0068, LACWKB8_0203"
OG0000098,,,2641559720,2646684716,"2686072871, 2686073270, 2686073362, 2686074409, 2686074509",,"2686077606, 2686077607, 2686078002",2686079509,,2760266590,2760268664,LACWKB8_1289
OG0000099,,,,"2646683569, 2646683570, 2646684137, 2646684138, 2646685022, 2646685129","2686073245, 2686073246",,,"2686078324, 2686078325, 2686079896",,,,"LACWKB8_0069, LACWKB8_0070, LACWKB8_1710"
OG0000101,2632701619,"2637897431, 2637897432",2641557870,,,"2686074692, 2686074693","2686076299, 2686076300",,2760261226,"2760264785, 2760264786","2760266661, 2760266662",
OG0000103,2632701678,2637897533,"2641557965, 2641557966",2646683646,2686072884,2686074763,2686076395,2686078404,"2760261253, 2760261316",2760264880,2760266753,
OG0000104,2632701679,2637898942,2641559323,2646684879,2686074241,2686074764,2686077837,"2686078645, 2686079665",,2760266191,2760268206,"LACWKB8_0403, LACWKB8_1451"
OG0000111,2632701953,"2637897683, 2637898707","2641558226, 2641559074",,"2686073021, 2686073994",2686075068,,,2760261649,,"2760266851, 2760266919, 2760267954, 2760268094",
OG0000113,2632701999,2637897975,2641558405,2646684230,,2686075113,2686076910,"2686078808, 2686079000",2760261686,2760265324,2760267215,"LACWKB8_0580, LACWKB8_0790"
OG0000127,2632702693,2637899032,2641558054,,2686074310,"2686075841, 2686075989",2686076501,,"2760262483, 2760262648","2760264968, 2760266083",2760268296,LACWKB8_1357
OG0000132,2632702885,2637899258,"2641559557, 2641559608",,2686074528,"2686075973, 2686076044",2686078136,2686079968,"2760262625, 2760262705",2760266476,2760268545,
OG0000136,2632702998,"2637899321, 2637899336",2641559663,2646684049,"2686074598, 2686074612","2686076154, 2686076195",2686078196,2686078832,2760262845,,,LACWKB8_0602
OG0000140,,"2637897627, 2637899200",2641558521,,2686073451,,2686077031,,2760261285,"2760264754, 2760265442, 2760265443, 2760266598, 2760266607",2760267356,LACWKB8_0298
OG0000141,,2637898944,2641559324,2646684881,"2686074244, 2686074245",2686075953,2686077838,2686079666,2760262600,"2760266196, 2760266197",2760268207,LACWKB8_1453
OG0000142,,,2641559719,2646684717,"2686072870, 2686073269, 2686073363, 2686074408, 2686074508",,"2686077608, 2686078001",2686079510,,2760266591,2760268665,LACWKB8_1290
OG0000143,,,2641559732,"2646684070, 2646685210",,,2686076464,2686078558,,2760266525,"2760267069, 2760267337, 2760267776, 2760268229, 2760268626","LACWKB8_0311, LACWKB8_0404"
OG0000152,"2632701597, 2632701850, 2632701963",2637897942,2641558270,,2686073282,"2686074962, 2686075078",2686076702,,2760261659,2760265188,2760267180,
OG0000241,2632701751,2637899013,"2641558026, 2641558067",2646683715,,,"2686076474, 2686076514",2686078474,2760261386,2760264981,2760268277,LACWKB8_0214
OG0000280,2632701800,"2637899169, 2637899174",2641559764,2646685306,2686074458,2686074887,,2686079844,2760261460,2760266398,2760268450,LACWKB8_1649
OG0000308,2632701835,2637897790,"2641558228, 2641558387",2646683879,,2686074928,2686076668,2686078657,2760261506,2760265146,2760267032,LACWKB8_0420
OG0001096,2632702934,2637899201,"2641559530, 2641559539",2646685088,2686074471,2686076100,2686078065,2686079852,2760262778,,2760268481,LACWKB8_1658
OG0001178,,"2637897414, 2637897987",,,"2686072777, 2686073327, 2686073428","2686074685, 2686075125",,,"2760261222, 2760261698",2760264762,"2760266650, 2760267330",
OG0001179,,"2637897421, 2637897511","2641557860, 2641557940",2646683565,2686072860,,"2686076325, 2686076371",2686078320,,2760264856,2760266731,LACWKB8_0065
OG0001180,,"2637897422, 2637897510","2641557861, 2641557939",2646683566,2686072859,,"2686076326, 2686076370",2686078321,,2760264854,2760266730,LACWKB8_0066
OG0001181,,2637897434,"2641557813, 2641557872",2646683541,2686072790,,"2686076260, 2686076302",2686078296,,"2760264744, 2760264788",2760266664,LACWKB8_0040
OG0001182,,2637897435,"2641557814, 2641557873",2646683542,2686072791,,"2686076261, 2686076303",2686078297,,"2760264745, 2760264789",2760266665,LACWKB8_0041
OG0001183,,2637897455,2641557898,2646683579,2686072811,2686074711,"2686076330, 2686078044",2686078336,2760261263,2760264808,2760266685,LACWKB8_0079
OG0001184,,2637897456,2641557899,2646683580,2686072812,2686074712,"2686076331, 2686078043",2686078337,2760261264,2760264809,2760266686,LACWKB8_0080
OG0001185,,"2637897676, 2637897690",2641559217,2646684227,"2686073033, 2686074233",,"2686076567, 2686077732",2686078997,,,"2760266912, 2760266925",LACWKB8_0787
OG0001186,,2637897680,,"2646683573, 2646683643, 2646685127",2686073018,,,"2686078328, 2686078401, 2686079894",,2760266195,2760266916,"LACWKB8_0073, LACWKB8_1708"
OG0001187,,2637897723,2641558154,2646683836,2686073068,2686074877,2686076599,2686078600,2760261451,"2760265079, 2760265080",2760266958,LACWKB8_0356
OG0001188,,"2637897783, 2637898068","2641558142, 2641559365",2646683699,"2686073028, 2686073410",,,2686078459,,"2760265059, 2760266240",2760267306,LACWKB8_0198
OG0001189,,2637898585,"2641558947, 2641558950",2646684532,2686073870,,"2686077444, 2686077447",2686079298,,"2760265817, 2760265820",2760267819,LACWKB8_1095
OG0001190,,2637898727,"2641559092, 2641559099",2646684676,2686074015,,"2686077586, 2686077593",2686079439,,"2760265960, 2760265967",2760267974,LACWKB8_1239
OG0001191,,2637898978,"2641559342, 2641559616, 2641559617",2646684901,2686074276,,"2686077859, 2686078144",2686079685,,2760266212,"2760268242, 2760268243",
OG0001192,,2637898985,2641558354,2646684228,"2686072799, 2686074283",,2686076852,2686078998,,2760265274,2760268250,"LACWKB8_0527, LACWKB8_0788, LACWKB8_1477"
OG0001193,,"2637899177, 2637899179",,2646685081,,2686074751,,2686079846,2760261303,"2760266401, 2760266403","2760268451, 2760268452, 2760268454",LACWKB8_1651
OG0001194,,2637899303,"2641559650, 2641559778","2646685201, 2646685320",2686074580,,2686078182,2686079962,2760261425,2760266518,2760268587,LACWKB8_1773
OG0001195,,2637899384,2641559629,"2646683749, 2646685175","2686073057, 2686074655",,"2686076516, 2686078158",2686078509,,2760266498,2760268650,LACWKB8_0250
OG0001196,,2637899390,,"2646684892, 2646685216",2686074661,,,"2686079675, 2686079676, 2686079977",2760262608,,"2760266856, 2760268656","LACWKB8_1461, LACWKB8_1787"
OG0001197,2632701658,2637897484,2641557921,2646683600,2686072836,2686074738,2686076355,,2760261289,2760264831,2760266707,LACWKB8_0103
OG0001198,2632701834,2637897782,2641558224,2646683878,2686073123,2686074927,2686076667,2686078656,,2760265143,2760267028,LACWKB8_0419
OG0001199,2632702138,2637898144,2641558556,,"2686073491, 2686073492",2686075262,2686077064,,2760261837,"2760265480, 2760265481",2760267395,
OG0001200,2632702157,,"2641558579, 2641558584",,2686073528,,"2686077141, 2686077146",,"2760261864, 2760261865","2760265516, 2760265521",2760267483,
OG0001201,2632702184,,2641558611,2646684245,2686073560,2686075315,2686077166,2686079015,2760261894,2760265543,2760267512,LACWKB8_0805
OG0001202,2632702374,2637898483,2641558806,2646684446,2686073776,2686075514,2686077367,2686079215,2760262144,2760265736,2760267713,
OG0001203,2632702617,2637898757,2641559131,,2686074052,2686075765,2686077648,2686079491,2760262404,2760266002,2760268007,LACWKB8_1271
OG0001204,2632702629,2637898769,2641559143,2646684710,2686074064,2686075777,2686077660,2686079503,,2760266014,2760268019,LACWKB8_1283
OG0001205,2632702635,2637898774,2641559148,2646684715,2686074069,2686075783,,2686079508,2760262421,2760266019,2760268024,LACWKB8_1288
OG0001206,2632702832,"2637897823, 2637899019",2641559429,2646684508,"2686073154, 2686074298",,2686077954,,,2760266307,2760268283,LACWKB8_1070
OG0001207,2632702886,2637899257,"2641559556, 2641559607",,2686074527,2686076045,2686078135,2686079969,2760262706,2760266475,2760268544,
OG0001208,2632702907,2637899110,2641559458,2646684998,2686074393,2686076067,2686077979,2686079779,2760262738,2760266332,2760268380,
OG0001209,2632702908,2637899111,2641559459,2646684999,2686074394,2686076068,2686077980,2686079780,2760262739,2760266333,2760268381,
OG0001210,2632702912,2637899123,2641559468,2646685008,2686074405,2686076079,2686077993,,2760262757,2760266346,2760268390,LACWKB8_1589
OG0001211,2632702920,2637899135,2641559481,2646685031,2686074419,,2686078009,2686079798,2760262765,2760266358,2760268404,LACWKB8_1600
OG0001212,2632702982,2637899030,2641557929,2646685153,2686074308,2686075987,,2686079920,2760262646,2760264838,2760268294,LACWKB8_1734
OG0001213,2632702985,2637897702,,2646685156,"2686073045, 2686073046",,"2686076579, 2686076580, 2686077890",2686079923,,,2760266937,LACWKB8_1737
OG0001214,2632702996,2637897717,2641559659,,,"2686074870, 2686076152","2686076593, 2686078192",,2760262843,"2760265072, 2760266528",2760266952,
OG0001215,"2632703004, 2632703006",,,2646685107,"2686074573, 2686074575","2686076160, 2686076162",,2686079874,"2760262851, 2760262853",,,LACWKB8_1692
OG0001216,2632703043,2637897410,2641559553,2646683517,2686072771,2686076207,2686078119,2686078275,2760262895,2760264747,2760266644,
OG0001217,,2637897442,2641557884,2646683549,2686072803,2686074703,2686076315,2686078304,2760261254,2760264800,2760266672,LACWKB8_0048
OG0001218,,2637897443,2641557885,2646683550,2686072804,2686074704,2686076316,2686078305,2760261255,2760264801,2760266673,LACWKB8_0049
OG0001219,,2637897444,2641557886,2646683551,2686072805,2686074705,2686076317,2686078306,2760261256,2760264802,2760266674,LACWKB8_0050
OG0001220,,2637897454,2641557897,2646683578,2686072810,2686074710,2686076329,2686078335,2760261262,2760264807,2760266684,LACWKB8_0078
OG0001221,,"2637897486, 2637898987",2641557880,2646683603,2686074285,,2686076310,2686078362,,2760264796,2760268252,"LACWKB8_0106, LACWKB8_1479"
OG0001222,,2637897493,2641557922,2646683610,2686072837,2686074739,2686076356,2686078369,2760261290,2760264832,2760266708,LACWKB8_0113
OG0001223,,2637897496,"2641557924, 2641558944",2646683611,2686072839,,2686076357,2686078370,2760262224,2760264833,2760266710,LACWKB8_0114
OG0001224,,2637897559,2641557993,2646683667,2686072909,2686074784,2686076422,2686078429,2760261337,2760264910,2760266777,LACWKB8_0166
OG0001225,,"2637897670, 2637897681",,"2646683567, 2646684226",2686073019,,,"2686078322, 2686078996",,,"2760266906, 2760266917","LACWKB8_0067, LACWKB8_0786"
OG0001226,,2637897691,2641558234,2646685183,"2686073034, 2686074555",,2686076568,2686079946,,2760265152,"2760266857, 2760266926",LACWKB8_1757
OG0001227,,2637897712,2641558140,2646683827,2686073026,2686074865,2686076588,2686078590,,"2760265057, 2760265067",2760266947,LACWKB8_0346
OG0001228,,2637897714,2641558138,2646683829,2686073024,2686074867,2686076590,2686078592,,"2760265055, 2760265069",2760266949,LACWKB8_0348
OG0001229,,2637897725,2641558155,2646683837,2686073069,2686074879,2686076600,2686078601,2760261452,2760265081,2760266959,LACWKB8_0357
OG0001230,,2637897816,"2641558123, 2641558248",,2686073147,2686074940,2686076680,,"2760261432, 2760261515","2760265040, 2760265166",2760267054,
OG0001231,,2637897827,2641558256,2646683898,2686073158,2686074948,2686076688,2686078676,2760261523,2760265174,2760267062,LACWKB8_0439
OG0001232,,2637897828,2641558257,2646685019,2686073159,2686074950,2686076689,2686078584,2760261525,2760265175,2760267063,LACWKB8_0340
OG0001233,,"2637897997, 2637898176, 2637898209",2641558558,,2686073337,,2686077120,,2760261938,2760265997,"2760267236, 2760267427, 2760267457",
OG0001234,,2637898119,2641558530,2646684173,2686073462,,"2686077040, 2686078045",2686078943,,2760265453,"2760267366, 2760268440",LACWKB8_0716
OG0001235,,2637898138,2641558550,2646684191,2686073485,2686075257,2686077058,2686078961,2760261832,2760265474,2760267389,LACWKB8_0740
OG0001236,,2637898212,2641558560,2646684199,2686073498,2686075267,2686077122,2686078968,2760261842,2760265497,2760267460,LACWKB8_0747
OG0001237,,2637898213,2641558561,2646684200,2686073499,2686075268,2686077123,2686078969,2760261843,2760265498,2760267461,LACWKB8_0748
OG0001238,,2637898214,2641558562,2646684201,2686073500,2686075269,2686077124,2686078970,2760261844,2760265499,2760267462,LACWKB8_0749
OG0001239,,2637898449,2641558784,2646684422,2686073744,2686075491,2686077336,2686079191,2760262122,2760265714,2760267690,LACWKB8_0983
OG0001240,,2637898830,2641559196,2646684768,2686074125,2686075825,2686077712,2686079562,2760262464,2760266067,2760268079,LACWKB8_1341
OG0001241,,2637898831,2641559197,2646684769,2686074126,2686075826,2686077713,2686079563,2760262465,2760266068,2760268080,LACWKB8_1342
OG0001242,,2637898903,2641559512,"2646684872, 2646685076",2686073825,,,2686079840,,"2760266389, 2760266620",2760267771,"LACWKB8_1645, LACWKB8_1674"
OG0001243,,2637898937,2641559312,2646684873,2686074237,2686075944,2686077827,2686079660,2760262595,2760266178,2760268201,LACWKB8_1446
OG0001244,,2637898938,2641559313,2646684874,2686074238,2686075945,2686077828,2686079661,2760262596,2760266179,2760268202,LACWKB8_1447
OG0001245,,2637898939,2641559314,2646684875,2686074239,2686075946,2686077829,2686079662,2760262597,2760266180,2760268203,LACWKB8_1448
OG0001246,,2637898940,2641559315,2646684876,2686074240,2686075947,2686077830,2686079663,2760262598,2760266181,2760268204,LACWKB8_1449
OG0001247,,2637899097,2641559445,2646684986,2686074380,2686076059,2686077970,2686079767,2760262726,2760266323,2760268365,LACWKB8_1567
OG0001248,,2637899112,2641559460,2646685000,2686074395,2686076069,2686077981,2686079781,2760262740,2760266334,2760268382,LACWKB8_1581
OG0001249,,2637899113,2641559461,2646685001,2686074396,2686076070,2686077982,2686079782,2760262741,2760266335,2760268383,LACWKB8_1582
OG0001250,,2637899115,2641559463,2646685003,2686074398,2686076072,2686077988,2686079784,2760262746,2760266341,2760268385,LACWKB8_1584
OG0001251,,2637899266,2641559613,2646685163,2686074536,2686076144,2686078141,2686079931,2760262834,2760266480,2760268553,LACWKB8_1745
OG0001252,,2637899267,2641559614,2646685164,2686074537,2686076145,2686078142,2686079932,2760262835,2760266481,2760268554,LACWKB8_1746
OG0001253,2632701630,2637897440,"2641557881, 2641559717",,2686072798,,"2686076312, 2686078254",,2760261248,2760266589,2760266670,
OG0001254,2632701641,2637897468,2641557903,,2686072816,2686074717,2686076335,,2760261269,2760264813,2760266690,LACWKB8_0084
OG0001255,2632701680,2637898941,2641559322,2646684878,,2686074765,2686077836,2686079664,,2760266190,2760268205,LACWKB8_1450
OG0001256,2632701705,2637897560,2641557994,,2686072910,2686074785,2686076423,,2760261338,2760264911,2760266778,LACWKB8_0167
OG0001257,2632701707,2637898843,"2641559209, 2641559210",,2686074138,2686074787,2686077725,,2760261340,2760266080,2760268092,
OG0001258,"2632701788, 2632703113",2637899196,2641559824,2646685366,,"2686074872, 2686075265",,,"2760261443, 2760261840, 2760262480",,,
OG0001259,2632701790,2637897720,2641558151,,2686073065,2686074874,2686076596,2686078597,2760261445,2760265075,2760266955,
OG0001260,2632701833,2637897781,2641558223,2646683877,2686073122,,2686076666,2686078655,,2760265142,2760267027,LACWKB8_0418
OG0001261,2632702070,,2641558482,2646684112,2686073398,2686075191,2686076991,2686078889,2760261767,2760265402,,LACWKB8_0662
OG0001262,2632702155,"2637898241, 2637898245",,,"2686073125, 2686073527, 2686073532",2686075287,,,"2760261862, 2760261872",,2760267488,
OG0001263,2632702298,2637899165,2641559514,2646685078,2686074452,2686075438,,2686079842,2760262069,2760266390,,LACWKB8_1646
OG0001264,2632702605,,"2641559116, 2641559117",,,2686075746,"2686077615, 2686077616",,"2760262389, 2760262390","2760265984, 2760265985",,
OG0001265,2632702680,2637898834,2641559200,,2686074129,2686075829,2686077716,,2760262468,2760266071,2760268083,LACWKB8_1345
OG0001266,2632702960,2637899220,2641559571,,2686074490,2686076123,2686078094,,2760262807,2760266435,2760268503,LACWKB8_1689
OG0001267,,2637897416,2641557854,2646683526,2686072779,,2686076287,2686078281,2760261232,2760264773,2760266652,LACWKB8_0023
OG0001268,,"2637897495, 2637897500",2641557927,2646683614,2686072849,,2686076360,2686078373,,2760264836,2760266720,LACWKB8_0117
OG0001269,,2637897512,2641557941,2646683564,2686072861,,"2686076324, 2686076372",2686078319,,2760264857,2760266732,LACWKB8_0064
OG0001270,,2637897514,2641557943,2646683623,2686072863,,2686076374,2686078382,2760261299,2760264859,2760266734,LACWKB8_0125
OG0001271,,2637897515,2641557944,2646683624,2686072864,,2686076375,2686078383,2760261300,2760264860,2760266735,LACWKB8_0126
OG0001272,,2637897602,"2641557831, 2641559826, 2641559860","2646683795, 2646685368",2686072953,,,2686078555,,"2760266595, 2760266604",,
OG0001273,,2637897726,2641558156,2646683838,2686073070,,2686076601,2686078602,2760261447,2760265082,2760266960,LACWKB8_0358
OG0001274,,"2637897784, 2637897829",2641558258,,"2686073055, 2686073160",2686074951,2686076690,,2760261526,2760265176,2760267064,
OG0001275,,"2637897804, 2637898957, 2637898962",2641559354,,2686073134,2686074934,2686077879,,2760262711,2760266231,2760267040,
OG0001276,,2637897810,2641558232,2646683886,2686073141,,2686076674,2686078664,2760261512,2760265150,2760267047,LACWKB8_0427
OG0001277,,2637897811,2641558233,2646683887,2686073142,,2686076675,2686078665,2760261513,2760265151,2760267048,LACWKB8_0428
